A,,,,,
B,,LEBT1-LebanonTN,OHHT1-OLD_HICKORY,SMLK2-CumberlandR-SmithlandKY,KINT1-HarpethR-KingstonSpringsTN
C,UTC,Precip-Inc,Precip-Inc,Precip-Inc,Precip-Inc
E,,,,,
F,,dcp-rev,dcp-rev,dcp-rev,dcp-rev
Units,,in,in,in,in
Type,,PER-CUM,PER-CUM,PER-CUM,PER-CUM
197,04May2020  2100,0.00000,0.00000,0.00000,0.000
198,04May2020  2130,0.00000,0.00000,0.00000,0.000
199,04May2020  2200,0.00000,0.00000,0.00000,0.000
200,04May2020  2230,0.00000,0.00000,0.00000,0.000
201,04May2020  2300,0.00000,0.00000,0.06000,0.000
202,04May2020  2330,0.00000,0.00000,0.10000,0.000
203,05May2020  0000,0.00000,0.00000,0.05000,0.000
204,05May2020  0030,0.00000,0.00000,0.02000,0.010
205,05May2020  0100,0.00000,0.01000,0.00000,0.060
206,05May2020  0130,0.03000,0.04000,0.00000,0.080
207,05May2020  0200,0.06000,0.06000,0.00000,0.070
208,05May2020  0230,0.07000,0.05000,0.00000,0.020
209,05May2020  0300,0.04000,0.00000,0.00000,0.000
210,05May2020  0330,0.00000,0.00000,0.00000,0.000
211,05May2020  0400,0.00000,0.00000,0.00000,0.000
212,05May2020  0430,0.00000,0.00000,0.00000,0.000
213,05May2020  0500,0.00000,0.00000,0.00000,0.000
214,05May2020  0530,0.00000,0.00000,0.00000,0.000
215,05May2020  0600,0.00000,0.00000,0.00000,0.000
216,05May2020  0630,0.00000,0.00000,0.00000,0.000
217,05May2020  0700,0.00000,0.00000,0.00000,0.000
218,05May2020  0730,0.00000,0.00000,0.00000,0.000
219,05May2020  0800,0.00000,0.00000,0.00000,0.000
220,05May2020  0830,0.00000,0.00000,0.00000,0.000
221,05May2020  0900,0.00000,0.00000,0.00000,0.000
222,05May2020  0930,0.00000,0.00000,0.00000,0.000
223,05May2020  1000,0.00000,0.00000,0.00000,0.000
224,05May2020  1030,0.00000,0.00000,0.00000,0.000
225,05May2020  1100,0.00000,0.00000,0.00000,0.000
226,05May2020  1130,0.00000,0.00000,0.00000,0.000
227,05May2020  1200,0.00000,0.00000,0.00000,0.000
228,05May2020  1230,0.00000,0.00000,0.00000,0.000
229,05May2020  1300,0.00000,0.00000,0.00000,0.000
230,05May2020  1330,0.00000,0.00000,0.00000,0.000
231,05May2020  1400,0.00000,0.00000,0.00000,0.000
232,05May2020  1430,0.00000,0.00000,0.00000,0.000
233,05May2020  1500,0.00000,0.00000,0.00000,0.000
234,05May2020  1530,0.00000,0.01000,0.00000,0.000
235,05May2020  1600,0.00000,0.00000,0.00000,0.000
236,05May2020  1630,0.00000,0.00000,0.00000,0.000
237,05May2020  1700,0.00000,0.00000,0.00000,0.000
238,05May2020  1730,0.00000,0.00000,0.00000,0.000
239,05May2020  1800,0.00000,0.00000,0.00000,0.000
240,05May2020  1830,0.00000,0.00000,0.00000,0.000
241,05May2020  1900,0.00000,0.00000,0.00000,0.000
242,05May2020  1930,0.00000,0.00000,0.00000,0.000
243,05May2020  2000,0.00000,0.00000,0.00000,0.000
244,05May2020  2030,0.00000,0.00000,0.00000,0.000
245,05May2020  2100,0.00000,0.00000,0.00000,0.000
246,05May2020  2130,0.00000,0.00000,0.00000,0.010
247,05May2020  2200,0.00000,0.00000,0.00000,0.000
248,05May2020  2230,0.00000,0.00000,0.00000,0.000
249,05May2020  2300,0.00000,0.00000,0.00000,0.000
250,05May2020  2330,0.00000,0.00000,0.00000,0.000
251,06May2020  0000,0.00000,0.00000,0.00000,0.000
252,06May2020  0030,0.00000,0.00000,0.00000,0.000
253,06May2020  0100,0.00000,0.00000,0.00000,0.000
254,06May2020  0130,0.00000,0.00000,0.00000,0.000
255,06May2020  0200,0.00000,0.00000,0.00000,0.000
256,06May2020  0230,0.00000,0.00000,0.00000,0.000
257,06May2020  0300,0.00000,0.00000,0.00000,0.000
258,06May2020  0330,0.00000,0.00000,0.00000,0.000
259,06May2020  0400,0.00000,0.00000,0.00000,0.000
260,06May2020  0430,0.00000,0.00000,0.00000,0.000
261,06May2020  0500,0.00000,0.00000,0.00000,0.000
262,06May2020  0530,0.00000,0.00000,0.00000,0.000
263,06May2020  0600,0.00000,0.00000,0.00000,0.000
264,06May2020  0630,0.00000,0.00000,0.00000,0.000
265,06May2020  0700,0.00000,0.00000,0.00000,0.000
266,06May2020  0730,0.00000,0.00000,0.00000,0.000
267,06May2020  0800,0.00000,0.00000,0.00000,0.000
268,06May2020  0830,0.00000,0.00000,0.00000,0.000
269,06May2020  0900,0.00000,0.00000,0.00000,0.000
270,06May2020  0930,0.00000,0.00000,0.00000,0.000
271,06May2020  1000,0.00000,0.00000,0.00000,0.000
272,06May2020  1030,0.00000,0.00000,0.00000,0.000
273,06May2020  1100,0.00000,0.00000,0.00000,0.000
274,06May2020  1130,0.00000,0.00000,0.00000,0.000
275,06May2020  1200,0.00000,0.00000,0.00000,0.000
276,06May2020  1230,0.00000,0.00000,0.00000,0.000
277,06May2020  1300,0.00000,0.00000,0.00000,0.000
278,06May2020  1330,0.00000,0.00000,0.00000,0.000
279,06May2020  1400,0.01000,0.01000,0.00000,0.000
280,06May2020  1430,0.01000,0.00000,0.00000,0.000
281,06May2020  1500,0.01000,0.00000,0.00000,0.000
282,06May2020  1530,0.00000,0.01000,0.00000,0.000
283,06May2020  1600,0.00000,0.00000,0.00000,0.000
284,06May2020  1630,0.00000,0.00000,0.00000,0.010
285,06May2020  1700,0.00000,0.00000,0.00000,0.000
286,06May2020  1730,0.00000,0.00000,0.00000,0.000
287,06May2020  1800,0.00000,0.00000,0.00000,0.000
288,06May2020  1830,0.00000,0.00000,0.00000,0.000
289,06May2020  1900,0.00000,0.00000,0.00000,0.000
290,06May2020  1930,0.00000,0.00000,0.00000,0.000
291,06May2020  2000,0.00000,0.00000,0.00000,0.000
292,06May2020  2030,0.00000,0.00000,0.00000,0.000
293,06May2020  2100,0.00000,0.00000,0.00000,0.000
294,06May2020  2130,0.00000,0.00000,0.00000,0.000
295,06May2020  2200,0.00000,0.00000,0.00000,0.000
296,06May2020  2230,0.00000,0.00000,0.00000,0.000
297,06May2020  2300,0.00000,0.00000,0.00000,0.000
298,06May2020  2330,0.00000,0.00000,0.00000,0.000
299,07May2020  0000,0.00000,0.00000,0.00000,0.000
300,07May2020  0030,0.00000,0.00000,0.00000,0.000
301,07May2020  0100,0.00000,0.00000,0.00000,0.000
302,07May2020  0130,0.00000,0.00000,0.00000,0.000
303,07May2020  0200,0.00000,0.00000,0.00000,0.000
304,07May2020  0230,0.00000,0.00000,0.00000,0.000
305,07May2020  0300,0.00000,0.00000,0.00000,0.000
306,07May2020  0330,0.00000,0.00000,0.00000,0.000
307,07May2020  0400,0.00000,0.00000,0.00000,0.000
308,07May2020  0430,0.00000,0.00000,0.00000,0.000
309,07May2020  0500,0.00000,0.00000,0.00000,0.000
310,07May2020  0530,0.00000,0.00000,0.00000,0.000
311,07May2020  0600,0.00000,0.00000,0.00000,0.000
312,07May2020  0630,0.00000,0.00000,0.00000,0.000
313,07May2020  0700,0.00000,0.00000,0.00000,0.000
314,07May2020  0730,0.00000,0.00000,0.00000,0.000
315,07May2020  0800,0.00000,0.00000,0.00000,0.000
316,07May2020  0830,0.00000,0.00000,0.00000,0.000
317,07May2020  0900,0.00000,0.00000,0.00000,0.000
318,07May2020  0930,0.00000,0.00000,0.00000,0.000
319,07May2020  1000,0.00000,0.00000,0.00000,0.000
320,07May2020  1030,0.00000,0.00000,0.00000,0.000
321,07May2020  1100,0.00000,0.00000,0.00000,0.000
322,07May2020  1130,0.00000,0.00000,0.00000,0.000
323,07May2020  1200,0.00000,0.00000,0.00000,0.000
324,07May2020  1230,0.00000,0.00000,0.00000,0.000
325,07May2020  1300,0.00000,0.00000,0.00000,0.000
326,07May2020  1330,0.00000,0.00000,0.00000,0.000
327,07May2020  1400,0.00000,0.00000,0.00000,0.000
328,07May2020  1430,0.00000,0.00000,0.00000,0.000
329,07May2020  1500,0.00000,0.00000,0.00000,0.000
330,07May2020  1530,0.00000,0.00000,0.00000,0.000
331,07May2020  1600,0.00000,0.00000,0.00000,0.000
332,07May2020  1630,0.00000,0.00000,0.00000,0.000
333,07May2020  1700,0.00000,0.00000,0.00000,0.000
334,07May2020  1730,0.00000,0.00000,0.00000,0.000
335,07May2020  1800,0.00000,0.00000,0.00000,0.000
336,07May2020  1830,0.00000,0.00000,0.00000,0.000
337,07May2020  1900,0.00000,0.00000,0.00000,0.000
338,07May2020  1930,0.00000,0.00000,0.00000,0.000
339,07May2020  2000,0.00000,0.00000,0.00000,0.000
340,07May2020  2030,0.00000,0.00000,0.00000,0.000
341,07May2020  2100,0.00000,0.00000,0.00000,0.000
342,07May2020  2130,0.00000,0.00000,0.00000,0.000
343,07May2020  2200,0.00000,0.00000,0.00000,0.000
344,07May2020  2230,0.00000,0.00000,0.00000,0.000
345,07May2020  2300,0.00000,0.00000,0.00000,0.000
346,07May2020  2330,0.00000,0.00000,0.00000,0.000
347,08May2020  0000,0.00000,0.00000,0.00000,0.000
348,08May2020  0030,0.00000,0.00000,0.00000,0.000
349,08May2020  0100,0.00000,0.00000,0.00000,0.000
350,08May2020  0130,0.00000,0.00000,0.00000,0.000
351,08May2020  0200,0.00000,0.00000,0.00000,0.000
352,08May2020  0230,0.00000,0.00000,0.00000,0.000
353,08May2020  0300,0.00000,0.00000,0.00000,0.000
